Seq. For Order,Observation Class,Domain Prefix,Variable Name (minus domain prefix),,Variable Label,Variable Name,Controlled Terms or Format,Role,CDISC Notes (for domains) Description (for General Classes),Core
2,Relationship,RELREC,RDOMAIN,,Related Domain Abbreviation,RDOMAIN,DOMAIN,,Two-character abbreviation for the domain of the parent record(s).,Req
3,Relationship,RELREC,USUBJID,,Unique Subject Identifier,USUBJID,,,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Exp
4,Relationship,RELREC,IDVAR,,Identifying Variable,IDVAR,,,Name of the identifying variable in the general-observation-class dataset that identifies the related record(s). Examples include --SEQ and --GRPID.,Req
5,Relationship,RELREC,IDVARVAL,,Identifying Variable Value,IDVARVAL,,,"Value of identifying variable described in IDVAR. If --SEQ is the variable being used to describe this record, then the value of --SEQ would be entered here.",Exp
6,Relationship,RELREC,RELTYPE,,Relationship Type,RELTYPE,RELTYPE,,Identifies the hierarchical level of the records in the relationship. Values should be either ONE or MANY. Used only when identifying a relationship between datasets (as described in Section 8.3).,Exp
7,Relationship,RELREC,RELID,,Relationship Identifier,RELID,,,"Unique value within USUBJID that identifies the relationship. All records for the same USUBJID that have the same RELID are considered 'related/associated.' RELID can be any value the sponsor chooses, and is only meaningful within the RELREC dataset to identify the related/associated Domain records.",Req
1,Special Purpose,SE,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Special Purpose,SE,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Special Purpose,SE,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Special Purpose,SE,SEQ,,Sequence Number,SESEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. Should be assigned to be consistent chronological order.,Req
5,Special Purpose,SE,ETCD,,Element Code,ETCD,,Topic,"ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.",Req
6,Special Purpose,SE,ELEMENT,,Description of Element,ELEMENT,,Synonym Qualifier,The name of the Element. If ETCD has a value of 'UNPLAN' then ELEMENT should be Null.,Perm
7,Special Purpose,SE,STDTC,,Start Date/Time of Element,SESTDTC,ISO 8601,Timing,Start date/time for an Element for each subject.,Req
8,Special Purpose,SE,ENDTC,,End Date/Time of Element,SEENDTC,ISO 8601,Timing,End date/time for an Element for each subject.,Exp
9,Special Purpose,SE,TAETORD,,Planned Order of Elements within Arm,TAETORD,,Timing,Number that gives the order of the Element within the Arm.,Perm
10,Special Purpose,SE,EPOCH,,Epoch,EPOCH,,Timing,Epoch associated with the Element in the planned sequence of Elements for the ARM to which the subject was assigned,Perm
11,Special Purpose,SE,UPDES,,Description of Unplanned Element,SEUPDES,,Synonym Qualifier,Description of what happened to the subject during this unplanned Element. Used only if ETCD has the value of 'UNPLAN'.,Perm
1,Special Purpose,CO,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Special Purpose,CO,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Special Purpose,CO,RDOMAIN,,Related Domain Abbreviation,RDOMAIN,DOMAIN,Record Qualifier,Two-character abbreviation for the domain of the parent record(s).,Perm
4,Special Purpose,CO,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
5,Special Purpose,CO,SEQ,,Sequence Number,COSEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
6,Special Purpose,CO,IDVAR,,Identifying Variable,IDVAR,,Record Qualifier,Name of the identifying variable in the general-observation-class dataset that identifies the related record(s). Examples include --SEQ and --GRPID.,Perm
7,Special Purpose,CO,IDVARVAL,,Identifying Variable Value,IDVARVAL,,Record Qualifier,"Value of identifying variable described in IDVAR. If --SEQ is the variable being used to describe this record, then the value of --SEQ would be entered here.",Perm
8,Special Purpose,CO,REF,,Comment Reference,COREF,,Record Qualifier,"Sponsor-defined reference associated with the comment. May be the CRF page number (e.g. 650), or a module name (e.g. DEMOG), or a combination of information that identifies the reference (e.g. 650-VITALS-VISIT 2).",Perm
9,Special Purpose,CO,VAL,,Comment,COVAL,,Topic,The text of the comment. Text over 200 characters can be added to additional columns COVAL1-COVALn. See assumption 5.2.1.1.3.,Req
10,Special Purpose,CO,EVAL,,Evaluator,COEVAL,,Record Qualifier,"Used to describe the originator of the comment. Examples: CENTRAL, REVIEWER, ADJUDICATION COMMITTEE, PRINCIPAL INVESTIGATOR.",Perm
11,Special Purpose,CO,DTC,,Date/Time of Comment,CODTC,ISO 8601,Timing,Date/time of comment on dedicated comment form. Should be null if this is a child record of another domain or if comment date was not collected.,Perm
1,Special Purpose,DM,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Special Purpose,DM,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Special Purpose,DM,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Special Purpose,DM,SUBJID,,Subject Identifier for the Study,SUBJID,,Topic,"Subject identifier, which must be unique within the study. Often the ID of the subject as recorded on a CRF.",Req
5,Special Purpose,DM,RFSTDTC,,Subject Reference Start Date/Time,RFSTDTC,ISO 8601,Record Qualifier,"Reference Start Date/time for the subject in ISO 8601 character format. Usually equivalent to date/time when subject was first exposed to study treatment. Required for all randomized subjects; will be null for all subjects who did not meet the milestone the date requires, such as screen failures or unassigned subjects.",Exp
6,Special Purpose,DM,RFENDTC,,Subject Reference End Date/Time,RFENDTC,ISO 8601,Record Qualifier,"Reference End Date/time for the subject in ISO 8601 character format. Usually equivalent to the date/time when subject was determined to have ended the trial, and often equivalent to date/time of last exposure to study treatment. Required for all randomized subjects; null for screen failures or unassigned subjects.",Exp
7,Special Purpose,DM,SITEID,,Study Site Identifier,SITEID,,Record Qualifier,Unique identifier for a site within a study.,Req
8,Special Purpose,DM,INVID,,Investigator Identifier,INVID,,Record Qualifier,An identifier to describe the Investigator for the study. May be used in addition to SITEID. Not needed if SITEID is equivalent to INVID.,Perm
9,Special Purpose,DM,INVNAM,,Investigator Name,INVNAM,,Synonym Qualifier,Name of the investigator for a site.,Perm
10,Special Purpose,DM,BRTHDTC,,Date/Time of Birth,BRTHDTC,ISO 8601,Record Qualifier,Date/time of birth of the subject.,Perm
11,Special Purpose,DM,AGE,,Age,AGE,,Record Qualifier,"Age expressed in AGEU. May be derived from RFSTDTC and BRTHDTC, but BRTHDTC may not be available in all cases (due to subject privacy concerns).",Exp
12,Special Purpose,DM,AGEU,,Age Units,AGEU,AGEU,Variable Qualifier,Units associated with AGE.,Exp
13,Special Purpose,DM,SEX,,Sex,SEX,SEX,Record Qualifier,Sex of the subject.,Req
14,Special Purpose,DM,RACE,,Race,RACE,RACE,Record Qualifier,"Race of the subject. Sponsors should refer to 'Collection of Race and Ethnicity Data in Clinical Trials' (FDA, September 2005) for guidance regarding the collection of race (http://www.fda.gov/cder/guidance/5656fnl.htm) See Assumption below regarding RACE.",Exp
15,Special Purpose,DM,ETHNIC,,Ethnicity,ETHNIC,ETHNIC,Record Qualifier,"The ethnicity of the subject. Sponsors should refer to 'Collection of Race and Ethnicity Data in Clinical Trials' (FDA, September 2005) for guidance regarding the collection of ethnicity (http://www.fda.gov/cder/guidance/5656fnl.htm).",Perm
16,Special Purpose,DM,ARMCD,,Planned Arm Code,ARMCD,,Record Qualifier,"1.ARMCD is limited to 20 characters and does not have special character restrictions. The maximum length of ARMCD is longer than for other 'short' variables to accommodate the kind of values that are likely to be needed for crossover trials. For example, if ARMCD values for a seven-period crossover were constructed using two-character abbreviations for each treatment and separating hyphens, the length of ARMCD values would be 20. 2. If the timing of Visits for a trial does not depend on which ARM a subject is in, then ARMCD should be null.",Req
17,Special Purpose,DM,ARM,,Description of Planned Arm,ARM,,Synonym Qualifier,Name given to an Arm or treatment group.,Req
18,Special Purpose,DM,COUNTRY,,Country,COUNTRY,COUNTRY,Record Qualifier,Country of the investigational site in which the subject participated in the trial.,Req
19,Special Purpose,DM,DTC,,Date/Time of Collection,DMDTC,ISO 8601,Timing,Date/time of demographic data collection.,Perm
20,Special Purpose,DM,DY,,Study Day of Collection,DMDY,,Timing,Study day of collection measured as integer days.,Perm
1,Special Purpose,SV,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Special Purpose,SV,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Special Purpose,SV,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Special Purpose,SV,VISITNUM,,Visit Number,VISITNUM,,Topic,"Clinical encounter number. Numeric version of VISIT, used for sorting.",Req
5,Special Purpose,SV,VISIT,,Visit Name,VISIT,,Synonym Qualifier,1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY.,Perm
6,Special Purpose,SV,VISITDY,,Planned Study Day of Visit,VISITDY,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
7,Special Purpose,SV,STDTC,,Start Date/Time of Visit,SVSTDTC,ISO 8601,Timing,Start date/time for a Visit.,Exp
8,Special Purpose,SV,ENDTC,,End Date/Time of Visit,SVENDTC,ISO 8601,Timing,End date/time of a Visit.,Exp
9,Special Purpose,SV,STDY,,Study Day of Start of Visit,SVSTDY,,Timing,Study day of start of visit relative to the sponsor-defined RFSTDTC.,Perm
10,Special Purpose,SV,ENDY,,Study Day of End of Visit,SVENDY,,Timing,Study day of end of visit relative to the sponsor-defined RFSTDTC.,Perm
11,Special Purpose,SV,UPDES,,Description of Unplanned Visit,SVUPDES,,Synonym Qualifier,Description of what happened to the subject during an unplanned visit.,Perm
1,Special Purpose,SUPPQUAL,STUDYID,,Study Identifier,STUDYID,,,Unique identifier for a study.,Req
2,Special Purpose,SUPPQUAL,RDOMAIN,,Related Domain Abbreviation,RDOMAIN,DOMAIN,,Two-character abbreviation for the domain of the parent record(s).,Req
3,Special Purpose,SUPPQUAL,USUBJID,,Unique Subject Identifier,USUBJID,,,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Special Purpose,SUPPQUAL,IDVAR,,Identifying Variable,IDVAR,,,Name of the identifying variable in the general-observation-class dataset that identifies the related record(s). Examples include --SEQ and --GRPID.,Exp
5,Special Purpose,SUPPQUAL,IDVARVAL,,Identifying Variable Value,IDVARVAL,,,"Value of identifying variable described in IDVAR. If --SEQ is the variable being used to describe this record, then the value of --SEQ would be entered here.",Exp
6,Special Purpose,SUPPQUAL,QNAM,,Qualifier Variable Name,QNAM,,,"The short name of the Qualifier variable, which is used as a column name in a domain view with data from the parent domain. The value in QNAM cannot be longer than 8 characters, nor can it start with a number (e.g., '1TEST'). QNAM cannot contain characters other than letters, numbers, or underscores. This will often be the column name in the sponsor's operational dataset.",Req
7,Special Purpose,SUPPQUAL,QLABEL,,Qualifier Variable Label,QLABEL,,,This is the long name or label associated with QNAM. The value in QLABEL cannot be longer than 40 characters. This will often be the column label in the sponsor's original dataset.,Req
8,Special Purpose,SUPPQUAL,QVAL,,Data Value,QVAL,,,"Result of, response to, or value associated with QNAM. A value for this column is required; no records can be in SUPP-- with a null value for QVAL.",Req
9,Special Purpose,SUPPQUAL,QORIG,,Origin,QORIG,,,"Since QVAL can represent a mixture of collected (on a CRF), derived, or assigned items, QORIG is used to indicate the origin of this data. Examples include CRF, ASSIGNED, or DERIVED. See Section 4.1.1.8.",Req
10,Special Purpose,SUPPQUAL,QEVAL,,Evaluator,QEVAL,,,"Used only for results that are subjective (e.g., assigned by a person or a group). Should be null for records that contain objectively collected or derived data. Some examples include ADJUDICATION COMMITTEE, STATISTICIAN, DATABASE ADMINISTRATOR, CLINICAL COORDINATOR, etc.",Exp
1,Trial Design,TA,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Trial Design,TA,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Trial Design,TA,ARMCD,,Planned Arm Code,ARMCD,,Topic,"1.ARMCD is limited to 20 characters and does not have special character restrictions. The maximum length of ARMCD is longer than for other 'short' variables to accommodate the kind of values that are likely to be needed for crossover trials. For example, if ARMCD values for a seven-period crossover were constructed using two-character abbreviations for each treatment and separating hyphens, the length of ARMCD values would be 20. 2. If the timing of Visits for a trial does not depend on which ARM a subject is in, then ARMCD should be null.",Req
4,Trial Design,TA,ARM,,Description of Planned Arm,ARM,,Synonym Qualifier,Name given to an Arm or treatment group.,Req
5,Trial Design,TA,ETORD,,Order of Element within Arm,TAETORD,,Identifier,Number that gives the order of the Element within the Arm.,Req
6,Trial Design,TA,ETCD,,Element Code,ETCD,,Record Qualifier,"ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.",Req
7,Trial Design,TA,ELEMENT,,Description of Element,ELEMENT,,Synonym Qualifier,The name of the Element. If ETCD has a value of 'UNPLAN' then ELEMENT should be Null.,Perm
8,Trial Design,TA,BRANCH,,Branch,TABRANCH,,Rule,"Condition subject met, at a 'branch' in the trial design at the end of this Element, to be included in this Arm; (e.g., randomization to DRUG X).",Exp
9,Trial Design,TA,TRANS,,Transition Rule,TATRANS,,Rule,"If the trial design allows a subject to transition to an Element other than the next Element in sequence, then the conditions for transitioning to those other Elements, and the alternative Element sequences, are specified in this rule (e.g., Responders go to washout).",Exp
10,Trial Design,TA,EPOCH,,Epoch,EPOCH,,Timing,Epoch associated with the Element in the planned sequence of Elements for the ARM to which the subject was assigned,Req
1,Trial Design,TV,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Trial Design,TV,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Trial Design,TV,VISITNUM,,Visit Number,VISITNUM,,Topic,"Clinical encounter number. Numeric version of VISIT, used for sorting.",Req
4,Trial Design,TV,VISIT,,Visit Name,VISIT,,Synonym Qualifier,1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY.,Perm
5,Trial Design,TV,VISITDY,,Planned Study Day of Visit,VISITDY,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
6,Trial Design,TV,ARMCD,,Planned Arm Code,ARMCD,,Record Qualifier,"1.ARMCD is limited to 20 characters and does not have special character restrictions. The maximum length of ARMCD is longer than for other 'short' variables to accommodate the kind of values that are likely to be needed for crossover trials. For example, if ARMCD values for a seven-period crossover were constructed using two-character abbreviations for each treatment and separating hyphens, the length of ARMCD values would be 20. 2. If the timing of Visits for a trial does not depend on which ARM a subject is in, then ARMCD should be null.",Exp
7,Trial Design,TV,ARM,,Description of Planned Arm,ARM,,Synonym Qualifier,Name given to an Arm or treatment group.,Perm
8,Trial Design,TV,STRL,,Visit Start Rule,TVSTRL,,Rule,"Rule describing when the Visit starts, in relation to the sequence of Elements.",Req
9,Trial Design,TV,ENRL,,Visit End Rule,TVENRL,,Rule,"Rule describing when the Visit ends, in relation to the sequence of Elements.",Perm
1,Trial Design,TE,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Trial Design,TE,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Trial Design,TE,ETCD,,Element Code,ETCD,,Topic,"ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name.",Req
4,Trial Design,TE,ELEMENT,,Description of Element,ELEMENT,,Synonym Qualifier,The name of the Element. If ETCD has a value of 'UNPLAN' then ELEMENT should be Null.,Req
5,Trial Design,TE,STRL,,Rule for Start of Element,TESTRL,,Rule,Expresses rule for beginning Element.,Req
6,Trial Design,TE,ENRL,,Rule for End of Element,TEENRL,,Rule,Expresses rule for ending Element. Either TEENRL or TEDUR must be present for each Element.,Perm
7,Trial Design,TE,DUR,,Planned Duration of Element,TEDUR,ISO 8601,Timing,Planned Duration of Element in ISO 8601 format. Used when the rule for ending the Element is applied after a fixed duration.,Perm
1,Trial Design,TI,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Trial Design,TI,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Trial Design,TI,IETESTCD,,Incl/Excl Criterion Short Name,IETESTCD,,Topic,"Short name of the criterion described in IETEST. The value in IETESTCD cannot be longer than 8 characters, nor can it start with a number (e.g.'1TEST'). IETESTCD cannot contain characters other than letters, numbers, or underscores. Examples: IN01, EX01.",Req
4,Trial Design,TI,IETEST,,Inclusion/Exclusion Criterion,IETEST,,Synonym Qualifier,Verbatim description of the inclusion or exclusion criterion that was the exception for the subject within the study. IETEST cannot be longer than 200 characters.,Req
5,Trial Design,TI,IECAT,,Inclusion/Exclusion Category,IECAT,IECAT,Grouping Qualifier,Used to define a category of related records across subjects.,Req
6,Trial Design,TI,IESCAT,,Inclusion/Exclusion Subcategory,IESCAT,,Grouping Qualifier,"A further categorization of the exception criterion. Can be used to distinguish criteria for a sub-study or for to categorize as a major or minor exceptions. Examples: MAJOR, MINOR.",Perm
7,Trial Design,TI,RL,,Inclusion/Exclusion Criterion Rule,TIRL,,Rule,Rule that expresses the criterion in computer-executable form (see assumption 4 below).,Perm
8,Trial Design,TI,VERS,,Protocol Criteria Versions,TIVERS,,Record Qualifier,The number of this version of the Inclusion/Exclusion criteria. May be omitted if there is only one version.,Perm
1,Trial Design,TS,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Trial Design,TS,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Trial Design,TS,SEQ,,Sequence Number,TSSEQ,,Identifier,"Sequence number given to ensure uniqueness within a dataset. Allows inclusion of multiple records for the same TSPARMCD, and can be used to join related records.",Req
4,Trial Design,TS,GRPID,,Group ID,TSGRPID,,Identifier,Used to tie together a group of related records,Perm
5,Trial Design,TS,PARMCD,,Trial Summary Parameter Short Name,TSPARMCD,TSPARMCD,Topic,"TSPARMCD (the companion to TSPARM) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that TSPARMCD will need to serve as variable names. Examples: AGEMIN, AGEMAX",Req
6,Trial Design,TS,PARM,,Trial Summary Parameter,TSPARM,TSPARM,Synonym Qualifier,"Term for the Trial Summary Parameter. The value in TSPARM cannot be longer than 40 characters. Examples Planned Minimum Age of Subjects, Planned Maximum Age of Subjects",Req
7,Trial Design,TS,VAL,,Parameter Value,TSVAL,,Result Qualifier,Value of TSPARM. Example: 'ASTHMA' when TSPARM value is 'Trial Indication'. TSVAL cannot be null - a value is required for the record to be valid. Text over 200 characters can be added to additional columns TSVAL1-TSVALn.,Req
